@@,UserID,Item8,Item9,Item10,Item11,Item12,Item13,Item14,...
...,...,...,...,...,...,...,...,...,...
,00215810d2ac7b993899d34f9305cb67,1,3,3,1,3,3,0,...
---,d992797ec013948e69b8d17cc1599979,0,0,0,0,0,0,0,...
,eee60e96f750a1231963de506f936262,1,4,4,1,5,4,0,...
...,...,...,...,...,...,...,...,...,...
,6e0d004ded9ba0a217b6efd6534cab38,1,3,4,1,3,3,0,...
---,1bad96686bda9f5ae6b437c2f058ddd9,0,0,0,0,0,0,0,...
,ee84be211360b862eef45e21ba3e4ed6,1,3,5,1,3,5,1,...
...,...,...,...,...,...,...,...,...,...
,4f40c263a1cb3affe08fc5c663d4b4ba,1,1,2,1,1,2,0,...
---,750884dc72dab707c32bb165f7ecb391,0,0,0,0,0,0,0,...
,c91f1bcc3555ef194b23c70fa2ea924f,1,4,5,1,4,5,1,...
...,...,...,...,...,...,...,...,...,...
